date,adults_count,category_id,category_name,group_id,tariff_code,price_rub,raw_price_minor,source,room_type_code,rate_plan_code,service_rph,placement_code
2026-04-07,3,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,fullpansion,131500.00,13150000,travelline,223050,849522|849525,,532824
2026-04-07,3,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251629
2026-04-07,3,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251629
2026-04-07,3,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251622
2026-04-07,3,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251622
2026-04-07,3,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291407
2026-04-07,3,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291407
2026-04-07,3,Супериор Люкс с видом на море (размещение на 6-м этаже),Супериор Люкс с видом на море (размещение на 6-м этаже),SUITE,breakfast,64600.00,6460000,travelline,223031,849522|849525,,153760|532798
2026-04-07,3,Супериор Люкс с видом на море (размещение на 6-м этаже),Супериор Люкс с видом на море (размещение на 6-м этаже),SUITE,fullpansion,69700.00,6970000,travelline,223031,849522|849525,,153760|532798
2026-04-07,4,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144793
2026-04-07,4,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144793
2026-04-07,4,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,84600.00,8460000,travelline,222986,849522|849525,,532687
2026-04-07,4,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,92700.00,9270000,travelline,222986,849522|849525,,532687
2026-04-07,4,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,breakfast,118700.00,11870000,travelline,223050,849522|849525,,532822
2026-04-07,4,Пентхаус (размещение на 6-м этаже),Пентхаус (размещение на 6-м этаже),PENTHOUSE,fullpansion,131500.00,13150000,travelline,223050,849522|849525,,532822
2026-04-07,4,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251630
2026-04-07,4,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,fullpansion,454800.00,45480000,travelline,113648,851329|851363,,251630
2026-04-07,4,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,breakfast,272600.00,27260000,travelline,113646,851329|851363,,251623
2026-04-07,4,Семейная Винная Вилла,Семейная Винная Вилла,VILLA,fullpansion,302800.00,30280000,travelline,113646,851329|851363,,251623
2026-04-07,4,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,breakfast,272600.00,27260000,travelline,129428,851329|851363,,291408
2026-04-07,4,Семейная Винная Вилла (для людей с физическими особенностями),Семейная Винная Вилла (для людей с физическими особенностями),VILLA,fullpansion,302800.00,30280000,travelline,129428,851329|851363,,291408
2026-04-07,4,Супериор Люкс с видом на море (размещение на 6-м этаже),Супериор Люкс с видом на море (размещение на 6-м этаже),SUITE,breakfast,64600.00,6460000,travelline,223031,849522|849525,,153760|532798
2026-04-07,4,Супериор Люкс с видом на море (размещение на 6-м этаже),Супериор Люкс с видом на море (размещение на 6-м этаже),SUITE,fullpansion,69700.00,6970000,travelline,223031,849522|849525,,153760|532798
2026-04-07,5,Императорская Вилла,Императорская Вилла,VILLA,breakfast,555700.00,55570000,travelline,71012,851329|851363,,144794
2026-04-07,5,Императорская Вилла,Императорская Вилла,VILLA,fullpansion,656600.00,65660000,travelline,71012,851329|851363,,144794
2026-04-07,5,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,breakfast,95600.00,9560000,travelline,222986,849522|849525,,153725|532687
2026-04-07,5,Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),Коннект Делюкс Прайм с видом на море (два смежных номера | размещение на 6-м этаже),DELUXE,fullpansion,103700.00,10370000,travelline,222986,849522|849525,,153725|532687
2026-04-07,5,Президентская Винная Вилла,Президентская Винная Вилла,VILLA,breakfast,403700.00,40370000,travelline,113648,851329|851363,,251631
